fonte,categoria,campo,valor,severidade,mensagem
AMS_Calendario,nulos,LAST_USERSTATUS_PT,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,LAST_USERSTATUS_PT,,INFO,Campo constante
AMS_Calendario,dtype,LAST_USERSTATUS_EN,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,LAST_USERSTATUS_EN,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,LAST_USERSTATUS_EN,,INFO,Campo constante
AMS_Calendario,dtype,DATE_LAST_USERSTATUS_PT,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,DATE_LAST_USERSTATUS_PT,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,DATE_LAST_USERSTATUS_PT,,INFO,Campo constante
AMS_Calendario,dtype,DATE_LAST_USERSTATUS_EN,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,DATE_LAST_USERSTATUS_EN,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,DATE_LAST_USERSTATUS_EN,,INFO,Campo constante
AMS_Calendario,dtype,GLTRP,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,GLTRP,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,GLTRS,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,GLTRS,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,GETRI,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,GETRI,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ADDAT,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ADDAT,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,IDAT2,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,IDAT2,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ARBEI,float64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ARBEI,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ARBEI_DAY,float64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ARBEI_DAY,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ABCKZ_WO,object,INFO,Tipo estrutural observado
AMS_Calendario,nulos,ABCKZ_WO,53,WARNING,Campo contem valores nulos
AMS_Calendario,dtype,PRIOK,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,PRIOK,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,LTRMN,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,LTRMN,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,LTRMN,,INFO,Campo constante
AMS_Calendario,dtype,WARPL,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,WARPL,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,WARPL_SYSSTATUS,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,WARPL_SYSSTATUS,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,WARPL_SYSSTATUS,,INFO,Campo constante
AMS_Calendario,dtype,WPTXT,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,STICH,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,STICH,18245,WARNING,Campo contem valores nulos
AMS_Calendario,coercao,STICH,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ANZPS,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ANZPS,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,WAPOS,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,WAPOS,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,PSTXT,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,ABNUM,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ABNUM,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,STRAT,object,INFO,Tipo estrutural observado
AMS_Calendario,nulos,STRAT,27140,WARNING,Campo contem valores nulos
AMS_Calendario,dtype,TONEG,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,TONEG,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,TOPOS,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,TOPOS,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,NPLDA,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,NPLDA,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,LRMDT,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,LRMDT,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ZAEHL,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ZAEHL,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ZYKZT,float64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ZYKZT,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ZYK1K,float64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ZYK1K,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ZEIEH,object,INFO,Tipo estrutural observado
AMS_Calendario,nulos,ZEIEH,291,WARNING,Campo contem valores nulos
AMS_Calendario,dtype,POINT,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,POINT,36256,WARNING,Campo contem valores nulos
AMS_Calendario,coercao,POINT,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,PYEAR,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,PYEAR,202,WARNING,Campo contem valores nulos
AMS_Calendario,coercao,PYEAR,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,AVERAGE,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,AVERAGE,202,WARNING,Campo contem valores nulos
AMS_Calendario,coercao,AVERAGE,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,IMINTOLER,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,IMINTOLER,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,IMAXTOLER,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,IMAXTOLER,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,DTMINTOLER,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,DTMINTOLER,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,DTMAXTOLER,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,DTMAXTOLER,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,DTMAXTOLER_WITH_DURATION,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,DTMAXTOLER_WITH_DURATION,5,WARNING,Campo contem valores nulos
AMS_Calendario,coercao,DTMAXTOLER_WITH_DURATION,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,AMSYEAR,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,AMSYEAR,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,AMSMON,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,AMSMON,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,AMSMON_WITH_DURATION,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,AMSMON_WITH_DURATION,5,WARNING,Campo contem valores nulos
AMS_Calendario,coercao,AMSMON_WITH_DURATION,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,AMSWEEK,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,AMSWEEK,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,AMSDAY,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,AMSDAY,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,AMSDAY_DATE,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,AMSCALC,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,AMSCALC_WITH_DURATION,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,ITOSMPT,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ITOSMPT,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITOSMPT_ACTUAL,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ITOSMPT_ACTUAL,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITOSMPT_ACTUAL_WITH_DURATION,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ITOSMPT_ACTUAL_WITH_DURATION,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITEOSMPT,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ITEOSMPT,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITEOSMPT_WITH_DURATION,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ITEOSMPT_WITH_DURATION,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,IMAINDI265,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,IMAINDI265,0,INFO,Campo constante
AMS_Calendario,coercao,IMAINDI265,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,IMAINDI292,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,IMAINDI292,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,EXCLUIR_PLANTA,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,EXCLUIR_PLANTA,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,EXCLUIR_PLANTA,,INFO,Campo constante
AMS_Calendario,dtype,PLANTA_VALIDA,object,INFO,Tipo estrutural observado
AMS_Calendario,constante,PLANTA_VALIDA,SIM,INFO,Campo constante
AMS_Calendario,dtype,GRCIA_GRCI_PM_0001,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,OBJID_SUP,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,OBJID_SUP,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,OBJID_GAR,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,OBJID_GAR,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,OBJID_GER,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_GER,50759242,INFO,Campo constante
AMS_Calendario,coercao,OBJID_GER,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,OBJID_GEG,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_GEG,50747762,INFO,Campo constante
AMS_Calendario,coercao,OBJID_GEG,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,OBJID_DIR,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_DIR,50741292,INFO,Campo constante
AMS_Calendario,coercao,OBJID_DIR,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,OBJID_DEX,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_DEX,50676353,INFO,Campo constante
AMS_Calendario,coercao,OBJID_DEX,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,OBJID_CEO,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_CEO,50403760,INFO,Campo constante
AMS_Calendario,coercao,OBJID_CEO,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,OBJID_SUP_TEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,nulos,OBJID_SUP_TEXT,3866,WARNING,Campo contem valores nulos
AMS_Calendario,dtype,OBJID_GAR_TEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,OBJID_GER_TEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_GER_TEXT,GER LAYER MANUTENÇÃO MINA,INFO,Campo constante
AMS_Calendario,dtype,OBJID_GEG_TEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_GEG_TEXT,DIR OPERACAO ITABIRA,INFO,Campo constante
AMS_Calendario,dtype,OBJID_DIR_TEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_DIR_TEXT,DIR CORREDOR SUDESTE,INFO,Campo constante
AMS_Calendario,dtype,OBJID_DEX_TEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_DEX_TEXT,VP EXEC OPERACOES,INFO,Campo constante
AMS_Calendario,dtype,OBJID_CEO_TEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,constante,OBJID_CEO_TEXT,PRESIDENCIA,INFO,Campo constante
AMS_Calendario,dtype,IMAINDI370,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,IMAINDI370,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,IMAINDI370,,INFO,Campo constante
AMS_Calendario,dtype,IMAINDI378,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,IMAINDI378,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,IMAINDI382,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,IMAINDI382,0,INFO,Campo constante
AMS_Calendario,coercao,IMAINDI382,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITOSMPT_ACTUAL_NEW,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ITOSMPT_ACTUAL_NEW,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITEOSMPT_NEW,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,ITEOSMPT_NEW,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITOSMPT_NEW,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,ITOSMPT_NEW,1,INFO,Campo constante
AMS_Calendario,coercao,ITOSMPT_NEW,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,TERMA,float64,INFO,Tipo estrutural observado
AMS_Calendario,nulos,TERMA,63476,WARNING,Campo contem valores nulos
AMS_Calendario,constante,TERMA,,INFO,Campo constante
AMS_Calendario,dtype,ITEOSMPT_OP,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,ITEOSMPT_OP,0,INFO,Campo constante
AMS_Calendario,coercao,ITEOSMPT_OP,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,ITOSMPT_ACTUAL_OP,int64,INFO,Tipo estrutural observado
AMS_Calendario,constante,ITOSMPT_ACTUAL_OP,0,INFO,Campo constante
AMS_Calendario,coercao,ITOSMPT_ACTUAL_OP,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,PLNNR,object,INFO,Tipo estrutural observado
AMS_Calendario,coercao,PLNNR,1092,WARNING,"Coercao numerica; amostra: ['BR324875', 'BR330474', 'BR330474']"
AMS_Calendario,dtype,PLKO_KTEXT,object,INFO,Tipo estrutural observado
AMS_Calendario,dtype,IMAINDI399,int64,INFO,Tipo estrutural observado
AMS_Calendario,coercao,IMAINDI399,0,INFO,Coercao numerica; amostra: []
AMS_Calendario,dtype,INNAM,object,INFO,Tipo estrutural observado
AMS_Calendario,nulos,INNAM,24918,WARNING,Campo contem valores nulos
AMS_Calendario,cardinalidade,AUFNR,63476,INFO,Cardinalidade elevada
AMC_ITABIRA,dimensao,,101519x117,INFO,Dimensao observada
AMC_ITABIRA,dtype,PRIMARY_KEY_JOIN,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,PRIMARY_KEY_JOIN,1281,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,PRIMARY_KEY_JOIN_WC,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,PRIMARY_KEY_JOIN_WC,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,PRIMARY_KEY_JOIN_FL,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,PRIMARY_KEY_JOIN_EQ,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,PRIMARY_KEY_JOIN_EQ,101515,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,PRIMARY_KEY_JOIN_EQ,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,PRIMARY_KEY_JOIN_FL_EQ,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,UPDATED_ON,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,YEAR,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,YEAR,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,CALMONTH,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,CALMONTH,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,CALWEEK,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,CALWEEK,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,BUKRS,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,constante,BUKRS,1001,INFO,Campo constante
AMC_ITABIRA,coercao,BUKRS,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,DIRECT_EXEC_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,DIRECTORIA_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,GRCIA_AREA_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,GRCIA_GRAL_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,SUPERV_RESPONSAVEL_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,FASE_WC_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,FASE_WC_PM_0001,6,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,EMPRESA_LD3_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,EMPRESA_LD3_PM_0001,90163,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,WC_ENG_RESP_PM_0001,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,WC_ENG_RESP_PM_0001,101519,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,WC_ENG_RESP_PM_0001,,INFO,Campo constante
AMC_ITABIRA,dtype,WERKS,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,WERKS,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,ARBPL,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,OBJID,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,OBJID,101519,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,OBJID,,INFO,Campo constante
AMC_ITABIRA,dtype,VERWE,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,constante,VERWE,5,INFO,Campo constante
AMC_ITABIRA,coercao,VERWE,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,VERAN,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,NEGOCIO_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,NEGOCIO_PM_0001,7,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,CORREDOR,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,CORREDOR,7,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,COMPLEXO_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,COMPLEXO_PM_0001,7,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,FASE_FL_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,FASE_FL_PM_0001,3539,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,FASEPROD_FL_PM_0001,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,FASEPROD_FL_PM_0001,5941,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,EQART,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,EQART,3,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,EQART,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,RBNRX,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,RBNRX,338,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,IWERK,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,IWERK,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,TPLNR,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,TPLNR_ID,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,EQUNR,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,EQUNR,101515,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,EQUNR,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,ABCKZ_FL,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ABCKZ_FL,249,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,ABCKZ_EQ,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ABCKZ_EQ,101515,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,ZZCRIT_FL,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ZZCRIT_FL,101454,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,ZZCRIT_FL,X,INFO,Campo constante
AMC_ITABIRA,dtype,ZZCOD_RISK_FL,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ZZCOD_RISK_FL,101454,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,ZZCRIT_EQ,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ZZCRIT_EQ,101519,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,ZZCRIT_EQ,,INFO,Campo constante
AMC_ITABIRA,dtype,ZZCOD_RISK_EQ,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ZZCOD_RISK_EQ,101519,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,ZZCOD_RISK_EQ,,INFO,Campo constante
AMC_ITABIRA,dtype,KOSTL,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,KOSTL,7,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,KOSTL,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,QMNUM,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,QMNUM,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,QMNUM_SYSSTATUS_PT,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,QMNUM_USERSTATUS_PT,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,QMNUM_SYSSTATUS_EN,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,QMNUM_USERSTATUS_EN,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,STRMN,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,STRMN,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,LTRMN,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,LTRMN,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,ERDAT,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,ERDAT,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,QMDAB,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,QMDAB,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,BEZDT,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,BEZDT,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,UDATE,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,UDATE,13859,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,UDATE,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,ABCKZ_NO,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ABCKZ_NO,246,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,PRIOK,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,PRIOK,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,QMTXT,object,INFO,Tipo estrutural observado
AMC_ITABIRA,dtype,EXCLUIR_PLANTA,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,EXCLUIR_PLANTA,101519,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,EXCLUIR_PLANTA,,INFO,Campo constante
AMC_ITABIRA,dtype,PLANTA_VALIDA,object,INFO,Tipo estrutural observado
AMC_ITABIRA,constante,PLANTA_VALIDA,SIM,INFO,Campo constante
AMC_ITABIRA,dtype,AUFNR,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,AUFNR,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,AUFNR,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,AUART,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,AUART,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,INGRP,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,INGRP,15739,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,INGRP,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,ILART,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ILART,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,AUFNR_SYSSTATUS_PT,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,AUFNR_SYSSTATUS_PT,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,AUFNR_USERSTATUS_PT,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,AUFNR_USERSTATUS_PT,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,AUFNR_SYSSTATUS_EN,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,AUFNR_SYSSTATUS_EN,101519,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,AUFNR_SYSSTATUS_EN,,INFO,Campo constante
AMC_ITABIRA,dtype,AUFNR_USERSTATUS_EN,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,AUFNR_USERSTATUS_EN,101519,WARNING,Campo contem valores nulos
AMC_ITABIRA,constante,AUFNR_USERSTATUS_EN,,INFO,Campo constante
AMC_ITABIRA,dtype,KTEXT,object,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,KTEXT,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,dtype,AUFK_ERDAT,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,AUFK_ERDAT,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,IDAT2,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,IDAT2,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,IDAT2,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,IDAT3,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,IDAT3,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,IDAT3,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,ADDAT,float64,INFO,Tipo estrutural observado
AMC_ITABIRA,nulos,ADDAT,5256,WARNING,Campo contem valores nulos
AMC_ITABIRA,coercao,ADDAT,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,TOLERANCE_DAYS,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,TOLERANCE_DAYS,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,DTMINTOLER,int64,INFO,Tipo estrutural observado
AMC_ITABIRA,coercao,DTMINTOLER,0,INFO,Coercao numerica; amostra: []
AMC_ITABIRA,dtype,DTMAXTOLER,int64,INFO,Tipo estrutural observado
